verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob
ir,114347,voy,vas,va,vamos,vais,van,vas,iba,ibas,iba,íbamos,ibais,iban,ibas,fui,fuiste,fue,fuimos,fuisteis,fueron,fuiste,iré,irás,irá,iremos,iréis,irán,irás,iría,irías,iría,iríamos,iríais,irían,irías,0.03290029065802883
ser,65616,soy,eres,es,somos,sois,son,sos,era,eras,era,éramos,erais,eran,eras,fui,fuiste,fue,fuimos,fuisteis,fueron,fuiste,seré,serás,será,seremos,seréis,serán,serás,sería,serías,sería,seríamos,seríais,serían,serías,0.018879248881188138
tener,49977,tengo,tienes,tiene,tenemos,tenéis,tienen,tenés,tenía,tenías,tenía,teníamos,teníais,tenían,tenías,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron,tuviste,tendré,tendrás,tendrá,tendremos,tendréis,tendrán,tendrás,tendría,tendrías,tendría,tendríamos,tendríais,tendrían,tendrías,0.014379544948414098
hacer,48701,hago,haces,hace,hacemos,hacéis,hacen,hacés,hacía,hacías,hacía,hacíamos,hacíais,hacían,hacías,hice,hiciste,hizo,hicimos,hicisteis,hicieron,hiciste,haré,harás,hará,haremos,haréis,harán,harás,haría,harías,haría,haríamos,haríais,harían,harías,0.014012410079290773
estar,38931,estoy,estás,está,estamos,estáis,están,estás,estaba,estabas,estaba,estábamos,estabais,estaban,estabas,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron,estuviste,estaré,estarás,estará,estaremos,estaréis,estarán,estarás,estaría,estarías,estaría,estaríamos,estaríais,estarían,estarías,0.01120135391053303
decir,34487,digo,dices,dice,decimos,decís,dicen,decís,decía,decías,decía,decíamos,decíais,decían,decías,dije,dijiste,dijo,dijimos,dijisteis,dijeron,dijiste,diré,dirás,dirá,diremos,diréis,dirán,dirás,diría,dirías,diría,diríamos,diríais,dirían,dirías,0.009922711780138004
ver,33899,veo,ves,ve,vemos,veis,ven,ves,veía,veías,veía,veíamos,veíais,veían,veías,vi,viste,vio,vimos,visteis,vieron,viste,veré,verás,verá,veremos,veréis,verán,verás,vería,verías,vería,veríamos,veríais,verían,verías,0.009753530508159544
haber,31047,he,has,"ha, impersonal: hay",hemos,habéis,han,has,había,habías,había,habíamos,habíais,habían,habías,hube,hubiste,hubo,hubimos,hubisteis,hubieron,hubiste,habré,habrás,habrá,habremos,habréis,habrán,habrás,habría,habrías,habría,habríamos,habríais,habrían,habrías,0.008932943794413681
dar,30581,doy,das,da,damos,dais,dan,das,daba,dabas,daba,dábamos,dabais,daban,dabas,di,diste,dio,dimos,disteis,dieron,diste,daré,darás,dará,daremos,daréis,darán,darás,daría,darías,daría,daríamos,daríais,darían,darías,0.008798864759138235
poder,30415,puedo,puedes,puede,podemos,podéis,pueden,podés,podía,podías,podía,podíamos,podíais,podían,podías,pude,pudiste,pudo,pudimos,pudisteis,pudieron,pudiste,podré,podrás,podrá,podremos,podréis,podrán,podrás,podría,podrías,podría,podríamos,podríais,podrían,podrías,0.008751102699362003
hablar,30224,hablo,hablas,habla,hablamos,habláis,hablan,hablás,hablaba,hablabas,hablaba,hablábamos,hablabais,hablaban,hablabas,hablé,hablaste,habló,hablamos,hablasteis,hablaron,hablaste,hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán,hablarás,hablaría,hablarías,hablaría,hablaríamos,hablaríais,hablarían,hablarías,0.00869614755829417
querer,28060,quiero,quieres,quiere,queremos,queréis,quieren,querés,quería,querías,quería,queríamos,queríais,querían,querías,quise,quisiste,quiso,quisimos,quisisteis,quisieron,quisiste,querré,querrás,querrá,querremos,querréis,querrán,querrás,querría,querrías,querría,querríamos,querríais,querrían,querrías,0.00807351444169317
venir,26808,vengo,vienes,viene,venimos,venís,vienen,venís,venía,venías,venía,veníamos,veníais,venían,venías,vine,viniste,vino,vinimos,vinisteis,vinieron,viniste,vendré,vendrás,vendrá,vendremos,vendréis,vendrán,vendrás,vendría,vendrías,vendría,vendríamos,vendríais,vendrían,vendrías,0.007713284930609784
comer,25379,como,comes,come,comemos,coméis,comen,comés,comía,comías,comía,comíamos,comíais,comían,comías,comí,comiste,comió,comimos,comisteis,comieron,comiste,comeré,comerás,comerá,comeremos,comeréis,comerán,comerás,comería,comerías,comería,comeríamos,comeríais,comerían,comerías,0.00730212840398186
saber,24696,sé,sabes,sabe,sabemos,sabéis,saben,sabés,sabía,sabías,sabía,sabíamos,sabíais,sabían,sabías,supe,supiste,supo,supimos,supisteis,supieron,supiste,sabré,sabrás,sabrá,sabremos,sabréis,sabrán,sabrás,sabría,sabrías,sabría,sabríamos,sabríais,sabrían,sabrías,0.007105613423095315
poner,24338,pongo,pones,pone,ponemos,ponéis,ponen,ponés,ponía,ponías,ponía,poníamos,poníais,ponían,ponías,puse,pusiste,puso,pusimos,pusisteis,pusieron,pusiste,pondré,pondrás,pondrá,pondremos,pondréis,pondrán,pondrás,pondría,pondrías,pondría,pondríamos,pondríais,pondrían,pondrías,0.007002608498999586
salir,22824,salgo,sales,sale,salimos,salís,salen,salís,salía,salías,salía,salíamos,salíais,salían,salías,salí,saliste,salió,salimos,salisteis,salieron,saliste,saldré,saldrás,saldrá,saldremos,saldréis,saldrán,saldrás,saldría,saldrías,saldría,saldríamos,saldríais,saldrían,saldrías,0.006566995495980219
leer,21138,leo,lees,lee,leemos,leéis,leen,leés,leía,leías,leía,leíamos,leíais,leían,leías,leí,leíste,leyó,leímos,leísteis,leyeron,leíste,leeré,leerás,leerá,leeremos,leeréis,leerán,leerás,leería,leerías,leería,leeríamos,leeríais,leerían,leerías,0.006081894093674635
dormir,20219,duermo,duermes,duerme,dormimos,dormís,duermen,dormís,dormía,dormías,dormía,dormíamos,dormíais,dormían,dormías,dormí,dormiste,durmió,dormimos,dormisteis,durmieron,dormiste,dormiré,dormirás,dormirá,dormiremos,dormiréis,dormirán,dormirás,dormiría,dormirías,dormiría,dormiríamos,dormiríais,dormirían,dormirías,0.0058174764253953746
volver,19160,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven,volvés,volvía,volvías,volvía,volvíamos,volvíais,volvían,volvías,volví,volviste,volvió,volvimos,volvisteis,volvieron,volviste,volveré,volverás,volverá,volveremos,volveréis,volverán,volverás,volvería,volverías,volvería,volveríamos,volveríais,volverían,volverías,0.005512777501883149
pedir,15423,pido,pides,pide,pedimos,pedís,piden,pedís,pedía,pedías,pedía,pedíamos,pedíais,pedían,pedías,pedí,pediste,pidió,pedimos,pedisteis,pidieron,pediste,pediré,pedirás,pedirá,pediremos,pediréis,pedirán,pedirás,pediría,pedirías,pediría,pediríamos,pediríais,pedirían,pedirías,0.004437555710414603
vivir,14028,vivo,vives,vive,vivimos,vivís,viven,vivís,vivía,vivías,vivía,vivíamos,vivíais,vivían,vivías,viví,viviste,vivió,vivimos,vivisteis,vivieron,viviste,viviré,vivirás,vivirá,viviremos,viviréis,vivirán,vivirás,viviría,vivirías,viviría,viviríamos,viviríais,vivirían,vivirías,0.004036181774343258
traer,13000,traigo,traes,trae,traemos,traéis,traen,traés,traía,traías,traía,traíamos,traíais,traían,traías,traje,trajiste,trajo,trajimos,trajisteis,trajeron,trajiste,traeré,traerás,traerá,traeremos,traeréis,traerán,traerás,traería,traerías,traería,traeríamos,traeríais,traerían,traerías,0.0037404022716326164
llevar,12214,llevo,llevas,lleva,llevamos,lleváis,llevan,llevás,llevaba,llevabas,llevaba,llevábamos,llevabais,llevaban,llevabas,llevé,llevaste,llevó,llevamos,llevasteis,llevaron,llevaste,llevaré,llevarás,llevará,llevaremos,llevaréis,llevarán,llevarás,llevaría,llevarías,llevaría,llevaríamos,llevaríais,llevarían,llevarías,0.003514251795824675
jugar,11916,juego,juegas,juega,jugamos,jugáis,juegan,jugás,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban,jugabas,jugué,jugaste,jugó,jugamos,jugasteis,jugaron,jugaste,jugaré,jugarás,jugará,jugaremos,jugaréis,jugarán,jugarás,jugaría,jugarías,jugaría,jugaríamos,jugaríais,jugarían,jugarías,0.003428510266828789
llegar,11894,llego,llegas,llega,llegamos,llegáis,llegan,llegás,llegaba,llegabas,llegaba,llegábamos,llegabais,llegaban,llegabas,llegué,llegaste,llegó,llegamos,llegasteis,llegaron,llegaste,llegaré,llegarás,llegará,llegaremos,llegaréis,llegarán,llegarás,llegaría,llegarías,llegaría,llegaríamos,llegaríais,llegarían,llegarías,0.00342218035529218
oir,11788,oigo,oyes,oye,oímos,oís,oyen,oís,oía,oías,oía,oíamos,oíais,oían,oías,oí,oíste,oyó,oímos,oísteis,oyeron,oíste,oiré,oirás,oirá,oiremos,oiréis,oirán,oirás,oiría,oirías,oiría,oiríamos,oiríais,oirían,oirías,0.0033916816906157912
tomar,10546,tomo,tomas,toma,tomamos,tomáis,toman,tomás,tomaba,tomabas,tomaba,tomábamos,tomabais,tomaban,tomabas,tomé,tomaste,tomó,tomamos,tomasteis,tomaron,tomaste,tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán,tomarás,tomaría,tomarías,tomaría,tomaríamos,tomaríais,tomarían,tomarías,0.0030343294120490443
empezar,10282,empiezo,empiezas,empieza,empezamos,empezáis,empiezan,empezás,empezaba,empezabas,empezaba,empezábamos,empezabais,empezaban,empezabas,empecé,empezaste,empezó,empezamos,empezasteis,empezaron,empezaste,empezaré,empezarás,empezará,empezaremos,empezaréis,empezarán,empezarás,empezaría,empezarías,empezaría,empezaríamos,empezaríais,empezarían,empezarías,0.0029583704736097357
conocer,10071,conozco,conoces,conoce,conocemos,conocéis,conocen,conocés,conocía,conocías,conocía,conocíamos,conocíais,conocían,conocías,conocí,conociste,conoció,conocimos,conocisteis,conocieron,conociste,conoceré,conocerás,conocerá,conoceremos,conoceréis,conocerán,conocerás,conocería,conocerías,conocería,conoceríamos,conoceríais,conocerían,conocerías,0.0028976608675086216
seguir,9987,sigo,sigues,sigue,seguimos,seguís,siguen,seguís,seguía,seguías,seguía,seguíamos,seguíais,seguían,seguías,seguí,seguiste,siguió,seguimos,seguisteis,siguieron,seguiste,seguiré,seguirás,seguirá,seguiremos,seguiréis,seguirán,seguirás,seguiría,seguirías,seguiría,seguiríamos,seguiríais,seguirían,seguirías,0.0028734921143688417
escribir,9751,escribo,escribes,escribe,escribimos,escribís,escriben,escribís,escribía,escribías,escribía,escribíamos,escribíais,escribían,escribías,escribí,escribiste,escribió,escribimos,escribisteis,escribieron,escribiste,escribiré,escribirás,escribirá,escribiremos,escribiréis,escribirán,escribirás,escribiría,escribirías,escribiría,escribiríamos,escribiríais,escribirían,escribirías,0.0028055894269761266
comprar,9360,compro,compras,compra,compramos,compráis,compran,comprás,compraba,comprabas,compraba,comprábamos,comprabais,compraban,comprabas,compré,compraste,compró,compramos,comprasteis,compraron,compraste,compraré,comprarás,comprará,compraremos,compraréis,comprarán,comprarás,compraría,comprarías,compraría,compraríamos,compraríais,comprarían,comprarías,0.002693089635575484
sentir,9336,siento,sientes,siente,sentimos,sentís,sienten,sentís,sentía,sentías,sentía,sentíamos,sentíais,sentían,sentías,sentí,sentiste,sintió,sentimos,sentisteis,sintieron,sentiste,sentiré,sentirás,sentirá,sentiremos,sentiréis,sentirán,sentirás,sentiría,sentirías,sentiría,sentiríamos,sentiríais,sentirían,sentirías,0.002686184277535547
pensar,9289,pienso,piensas,piensa,pensamos,pensáis,piensan,pensás,pensaba,pensabas,pensaba,pensábamos,pensabais,pensaban,pensabas,pensé,pensaste,pensó,pensamos,pensasteis,pensaron,pensaste,pensaré,pensarás,pensará,pensaremos,pensaréis,pensarán,pensarás,pensaría,pensarías,pensaría,pensaríamos,pensaríais,pensarían,pensarías,0.0026726612847073365
beber,9086,bebo,bebes,bebe,bebemos,bebéis,beben,bebés,bebía,bebías,bebía,bebíamos,bebíais,bebían,bebías,bebí,bebiste,bebió,bebimos,bebisteis,bebieron,bebiste,beberé,beberás,beberá,beberemos,beberéis,beberán,beberás,bebería,beberías,bebería,beberíamos,beberíais,beberían,beberías,0.002614253464619535
abrir,8919,abro,abres,abre,abrimos,abrís,abren,abrís,abría,abrías,abría,abríamos,abríais,abrían,abrías,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriste,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abrirás,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abrirías,0.002566203681591639
gustar,8678,gusto,gustas,gusta,gustamos,gustáis,gustan,gustás,gustaba,gustabas,gustaba,gustábamos,gustabais,gustaban,gustabas,gusté,gustaste,gustó,gustamos,gustasteis,gustaron,gustaste,gustaré,gustarás,gustará,gustaremos,gustaréis,gustarán,gustarás,gustaría,gustarías,gustaría,gustaríamos,gustaríais,gustarían,gustarías,0.0024968623779406036
quejar,8395,me quejo,te quejas,se queja,nos quejamos,os quejáis,se quejan,te quejás,me quejaba,te quejabas,se quejaba,nos quejábamos,os quejabais,se quejaban,te quejabas,me quejé,te quejaste,se quejó,nos quejamos,os quejasteis,se quejaron,te quejaste,me quejaré,te quejarás,se quejará,nos quejaremos,os quejaréis,se quejarán,te quejarás,me quejaría,te quejarías,se quejaría,nos quejaríamos,os quejaríais,se quejarían,te quejarías,0.002415436697719678
caer,8304,caigo,caes,cae,caemos,caéis,caen,caés,caía,caías,caía,caíamos,caíais,caían,caías,caí,caíste,cayó,caímos,caísteis,cayeron,caíste,caeré,caerás,caerá,caeremos,caeréis,caerán,caerás,caería,caerías,caería,caeríamos,caeríais,caerían,caerías,0.00238925388181825
cerrar,8145,cierro,cierras,cierra,cerramos,cerráis,cierran,cerrás,cerraba,cerrabas,cerraba,cerrábamos,cerrabais,cerraban,cerrabas,cerré,cerraste,cerró,cerramos,cerrasteis,cerraron,cerraste,cerraré,cerrarás,cerrará,cerraremos,cerraréis,cerrarán,cerrarás,cerraría,cerrarías,cerraría,cerraríamos,cerraríais,cerrarían,cerrarías,0.002343505884803666
encontrar,7829,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran,encontrás,encontraba,encontrabas,encontraba,encontrábamos,encontrabais,encontraban,encontrabas,encontré,encontraste,encontró,encontramos,encontrasteis,encontraron,encontraste,encontraré,encontrarás,encontrará,encontraremos,encontraréis,encontrarán,encontrarás,encontraría,encontrarías,encontraría,encontraríamos,encontraríais,encontrarían,encontrarías,0.0022525853372778273
creer,7816,creo,crees,cree,creemos,creéis,creen,creés,creía,creías,creía,creíamos,creíais,creían,creías,creí,creíste,creyó,creímos,creísteis,creyeron,creíste,creeré,creerás,creerá,creeremos,creeréis,creerán,creerás,creería,creerías,creería,creeríamos,creeríais,creerían,creerías,0.0022488449350061947
perder,7728,pierdo,pierdes,pierde,perdemos,perdéis,pierden,perdés,perdía,perdías,perdía,perdíamos,perdíais,perdían,perdías,perdí,perdiste,perdió,perdimos,perdisteis,perdieron,perdiste,perderé,perderás,perderá,perderemos,perderéis,perderán,perderás,perdería,perderías,perdería,perderíamos,perderíais,perderían,perderías,0.0022235252888597587
preferir,7701,prefiero,prefieres,prefiere,preferimos,preferís,prefieren,preferís,prefería,preferías,prefería,preferíamos,preferíais,preferían,preferías,preferí,preferiste,prefirió,preferimos,preferisteis,prefirieron,preferiste,preferiré,preferirás,preferirá,preferiremos,preferiréis,preferirán,preferirás,preferiría,preferirías,preferiría,preferiríamos,preferiríais,preferirían,preferirías,0.0022157567610648294
quedar,7617,quedo,quedas,queda,quedamos,quedáis,quedan,quedás,quedaba,quedabas,quedaba,quedábamos,quedabais,quedaban,quedabas,quedé,quedaste,quedó,quedamos,quedasteis,quedaron,quedaste,quedaré,quedarás,quedará,quedaremos,quedaréis,quedarán,quedarás,quedaría,quedarías,quedaría,quedaríamos,quedaríais,quedarían,quedarías,0.002191588007925049
morir,7385,muero,mueres,muere,morimos,morís,mueren,morís,moría,morías,moría,moríamos,moríais,morían,morías,morí,moriste,murió,morimos,moristeis,murieron,moriste,moriré,morirás,morirá,moriremos,moriréis,morirán,morirás,moriría,morirías,moriría,moriríamos,moriríais,morirían,morirías,0.00212483621353899
servir,7306,sirvo,sirves,sirve,servimos,servís,sirven,servís,servía,servías,servía,servíamos,servíais,servían,servías,serví,serviste,sirvió,servimos,servisteis,sirvieron,serviste,serviré,servirás,servirá,serviremos,serviréis,servirán,servirás,serviría,servirías,serviría,serviríamos,serviríais,servirían,servirías,0.0021021060766575304
buscar,7019,busco,buscas,busca,buscamos,buscáis,buscan,buscás,buscaba,buscabas,buscaba,buscábamos,buscabais,buscaban,buscabas,busqué,buscaste,buscó,buscamos,buscasteis,buscaron,buscaste,buscaré,buscarás,buscará,buscaremos,buscaréis,buscarán,buscarás,buscaría,buscarías,buscaría,buscaríamos,buscaríais,buscarían,buscarías,0.0020195295034299487
trabajar,6979,trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan,trabajás,trabajaba,trabajabas,trabajaba,trabajábamos,trabajabais,trabajaban,trabajabas,trabajé,trabajaste,trabajó,trabajamos,trabajasteis,trabajaron,trabajaste,trabajaré,trabajarás,trabajará,trabajaremos,trabajaréis,trabajarán,trabajarás,trabajaría,trabajarías,trabajaría,trabajaríamos,trabajaríais,trabajarían,trabajarías,0.002008020573363387
estudiar,6949,estudio,estudias,estudia,estudiamos,estudiáis,estudian,estudiás,estudiaba,estudiabas,estudiaba,estudiábamos,estudiabais,estudiaban,estudiabas,estudié,estudiaste,estudió,estudiamos,estudiasteis,estudiaron,estudiaste,estudiaré,estudiarás,estudiará,estudiaremos,estudiaréis,estudiarán,estudiarás,estudiaría,estudiarías,estudiaría,estudiaríamos,estudiaríais,estudiarían,estudiarías,0.0019993888758134655
sentar,6843,siento,sientas,sienta,sentamos,sentáis,sientan,sentás,sentaba,sentabas,sentaba,sentábamos,sentabais,sentaban,sentabas,senté,sentaste,sentó,sentamos,sentasteis,sentaron,sentaste,sentaré,sentarás,sentará,sentaremos,sentaréis,sentarán,sentarás,sentaría,sentarías,sentaría,sentaríamos,sentaríais,sentarían,sentarías,0.0019688902111370766
comenzar,6511,comienzo,comienzas,comienza,comenzamos,comenzáis,comienzan,comenzás,comenzaba,comenzabas,comenzaba,comenzábamos,comenzabais,comenzaban,comenzabas,comencé,comenzaste,comenzó,comenzamos,comenzasteis,comenzaron,comenzaste,comenzaré,comenzarás,comenzará,comenzaremos,comenzaréis,comenzarán,comenzarás,comenzaría,comenzarías,comenzaría,comenzaríamos,comenzaríais,comenzarían,comenzarías,0.0018733660915846127
conducir,6505,conduzco,conduces,conduce,conducimos,conducís,conducen,conducís,conducía,conducías,conducía,conducíamos,conducíais,conducían,conducías,conduje,condujiste,condujo,condujimos,condujisteis,condujeron,condujiste,conduciré,conducirás,conducirá,conduciremos,conduciréis,conducirán,conducirás,conduciría,conducirías,conduciría,conduciríamos,conduciríais,conducirían,conducirías,0.0018716397520746285
reir,6448,río,ríes,ríe,reímos,reís,ríen,reís,reía,reías,reía,reíamos,reíais,reían,reías,reí,reíste,rio,reímos,reísteis,rieron,reíste,reiré,reirás,reirá,reiremos,reiréis,reirán,reirás,reiría,reirías,reiría,reiríamos,reiríais,reirían,reirías,0.0018552395267297777
sacar,6386,saco,sacas,saca,sacamos,sacáis,sacan,sacás,sacaba,sacabas,sacaba,sacábamos,sacabais,sacaban,sacabas,saqué,sacaste,sacó,sacamos,sacasteis,sacaron,sacaste,sacaré,sacarás,sacará,sacaremos,sacaréis,sacarán,sacarás,sacaría,sacarías,sacaría,sacaríamos,sacaríais,sacarían,sacarías,0.0018374006851266068
aprender,6261,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden,aprendés,aprendía,aprendías,aprendía,aprendíamos,aprendíais,aprendían,aprendías,aprendí,aprendiste,aprendió,aprendimos,aprendisteis,aprendieron,aprendiste,aprenderé,aprenderás,aprenderá,aprenderemos,aprenderéis,aprenderán,aprenderás,aprendería,aprenderías,aprendería,aprenderíamos,aprenderíais,aprenderían,aprenderías,0.0018014352786686009
limpiar,6183,limpio,limpias,limpia,limpiamos,limpiáis,limpian,limpiás,limpiaba,limpiabas,limpiaba,limpiábamos,limpiabais,limpiaban,limpiabas,limpié,limpiaste,limpió,limpiamos,limpiasteis,limpiaron,limpiaste,limpiaré,limpiarás,limpiará,limpiaremos,limpiaréis,limpiarán,limpiarás,limpiaría,limpiarías,limpiaría,limpiaríamos,limpiaríais,limpiarían,limpiarías,0.0017789928650388052
llamar,6157,llamo,llamas,llama,llamamos,llamáis,llaman,llamás,llamaba,llamabas,llamaba,llamábamos,llamabais,llamaban,llamabas,llamé,llamaste,llamó,llamamos,llamasteis,llamaron,llamaste,llamaré,llamarás,llamará,llamaremos,llamaréis,llamarán,llamarás,llamaría,llamarías,llamaría,llamaríamos,llamaríais,llamarían,llamarías,0.00177151206049554
pagar,6125,pago,pagas,paga,pagamos,pagáis,pagan,pagás,pagaba,pagabas,pagaba,pagábamos,pagabais,pagaban,pagabas,pagué,pagaste,pagó,pagamos,pagasteis,pagaron,pagaste,pagaré,pagarás,pagará,pagaremos,pagaréis,pagarán,pagarás,pagaría,pagarías,pagaría,pagaríamos,pagaríais,pagarían,pagarías,0.0017623049164422905
correr,6120,corro,corres,corre,corremos,corréis,corren,corrés,corría,corrías,corría,corríamos,corríais,corrían,corrías,corrí,corriste,corrió,corrimos,corristeis,corrieron,corriste,correré,correrás,correrá,correremos,correréis,correrán,correrás,correría,correrías,correría,correríamos,correríais,correrían,correrías,0.0017608663001839702
bailar,6090,bailo,bailas,baila,bailamos,bailáis,bailan,bailás,bailaba,bailabas,bailaba,bailábamos,bailabais,bailaban,bailabas,bailé,bailaste,bailó,bailamos,bailasteis,bailaron,bailaste,bailaré,bailarás,bailará,bailaremos,bailaréis,bailarán,bailarás,bailaría,bailarías,bailaría,bailaríamos,bailaríais,bailarían,bailarías,0.0017522346026340489
terminar,6076,termino,terminas,termina,terminamos,termináis,terminan,terminás,terminaba,terminabas,terminaba,terminábamos,terminabais,terminaban,terminabas,terminé,terminaste,terminó,terminamos,terminasteis,terminaron,terminaste,terminaré,terminarás,terminará,terminaremos,terminaréis,terminarán,terminarás,terminaría,terminarías,terminaría,terminaríamos,terminaríais,terminarían,terminarías,0.0017482064771107521
pasar,6066,paso,pasas,pasa,pasamos,pasáis,pasan,pasás,pasaba,pasabas,pasaba,pasábamos,pasabais,pasaban,pasabas,pasé,pasaste,pasó,pasamos,pasasteis,pasaron,pasaste,pasaré,pasarás,pasará,pasaremos,pasaréis,pasarán,pasarás,pasaría,pasarías,pasaría,pasaríamos,pasaríais,pasarían,pasarías,0.0017453292445941118
dejar,6065,dejo,dejas,deja,dejamos,dejáis,dejan,dejás,dejaba,dejabas,dejaba,dejábamos,dejabais,dejaban,dejabas,dejé,dejaste,dejó,dejamos,dejasteis,dejaron,dejaste,dejaré,dejarás,dejará,dejaremos,dejaréis,dejarán,dejarás,dejaría,dejarías,dejaría,dejaríamos,dejaríais,dejarían,dejarías,0.0017450415213424476
andar,6047,ando,andas,anda,andamos,andáis,andan,andás,andaba,andabas,andaba,andábamos,andabais,andaban,andabas,anduve,anduviste,anduvo,anduvimos,anduvisteis,anduvieron,anduviste,andaré,andarás,andará,andaremos,andaréis,andarán,andarás,andaría,andarías,andaría,andaríamos,andaríais,andarían,andarías,0.0017398625028124948
entender,6029,entiendo,entiendes,entiende,entendemos,entendéis,entienden,entendés,entendía,entendías,entendía,entendíamos,entendíais,entendían,entendías,entendí,entendiste,entendió,entendimos,entendisteis,entendieron,entendiste,entenderé,entenderás,entenderá,entenderemos,entenderéis,entenderán,entenderás,entendería,entenderías,entendería,entenderíamos,entenderíais,entenderían,entenderías,0.001734683484282542
vestir,5909,visto,vistes,viste,vestimos,vestís,visten,vestís,vestía,vestías,vestía,vestíamos,vestíais,vestían,vestías,vestí,vestiste,vistió,vestimos,vestisteis,vistieron,vestiste,vestiré,vestirás,vestirá,vestiremos,vestiréis,vestirán,vestirás,vestiría,vestirías,vestiría,vestiríamos,vestiríais,vestirían,vestirías,0.0017001566940828563
visitar,5820,visito,visitas,visita,visitamos,visitáis,visitan,visitás,visitaba,visitabas,visitaba,visitábamos,visitabais,visitaban,visitabas,visité,visitaste,visitó,visitamos,visitasteis,visitaron,visitaste,visitaré,visitarás,visitará,visitaremos,visitaréis,visitarán,visitarás,visitaría,visitarías,visitaría,visitaríamos,visitaríais,visitarían,visitarías,0.001674549324684756
almorzar,5718,almuerzo,almuerzas,almuerza,almorzamos,almorzáis,almuerzan,almorzás,almorzaba,almorzabas,almorzaba,almorzábamos,almorzabais,almorzaban,almorzabas,almorcé,almorzaste,almorzó,almorzamos,almorzasteis,almorzaron,almorzaste,almorzaré,almorzarás,almorzará,almorzaremos,almorzaréis,almorzarán,almorzarás,almorzaría,almorzarías,almorzaría,almorzaríamos,almorzaríais,almorzarían,almorzarías,0.001645201553015023
llover,5711,–,–,llueve,–,–,–,–,–,–,llovía,–,–,–,–,–,–,llovió,–,–,–,–,–,–,lloverá,–,–,–,–,–,–,llovería,–,–,–,–,0.001643187490253375
divertir,5616,divierto,diviertes,divierte,divertimos,divertís,divierten,divertís,divertía,divertías,divertía,divertíamos,divertíais,divertían,divertías,divertí,divertiste,divirtió,divertimos,divertisteis,divirtieron,divertiste,divertiré,divertirás,divertirá,divertiremos,divertiréis,divertirán,divertirás,divertiría,divertirías,divertiría,divertiríamos,divertiríais,divertirían,divertirías,0.0016158537813452903
conseguir,5593,consigo,consigues,consigue,conseguimos,conseguís,consiguen,conseguís,conseguía,conseguías,conseguía,conseguíamos,conseguíais,conseguían,conseguías,conseguí,conseguiste,consiguió,conseguimos,conseguisteis,consiguieron,conseguiste,conseguiré,conseguirás,conseguirá,conseguiremos,conseguiréis,conseguirán,conseguirás,conseguiría,conseguirías,conseguiría,conseguiríamos,conseguiríais,conseguirían,conseguirías,0.0016092361465570172
repetir,5575,repito,repites,repite,repetimos,repetís,repiten,repetís,repetía,repetías,repetía,repetíamos,repetíais,repetían,repetías,repetí,repetiste,repitió,repetimos,repetisteis,repitieron,repetiste,repetiré,repetirás,repetirá,repetiremos,repetiréis,repetirán,repetirás,repetiría,repetirías,repetiría,repetiríamos,repetiríais,repetirían,repetirías,0.0016040571280270643
caminar,5550,camino,caminas,camina,caminamos,camináis,caminan,caminás,caminaba,caminabas,caminaba,caminábamos,caminabais,caminaban,caminabas,caminé,caminaste,caminó,caminamos,caminasteis,caminaron,caminaste,caminaré,caminarás,caminará,caminaremos,caminaréis,caminarán,caminarás,caminaría,caminarías,caminaría,caminaríamos,caminaríais,caminarían,caminarías,0.0015968640467354633
esperar,5514,espero,esperas,espera,esperamos,esperáis,esperan,esperás,esperaba,esperabas,esperaba,esperábamos,esperabais,esperaban,esperabas,esperé,esperaste,esperó,esperamos,esperasteis,esperaron,esperaste,esperaré,esperarás,esperará,esperaremos,esperaréis,esperarán,esperarás,esperaría,esperarías,esperaría,esperaríamos,esperaríais,esperarían,esperarías,0.0015865060096755576
