verb,count,presente yo,presente tú,"presente él, ella, Ud.",presente nosotros,presente vosotros,"presente ellos, ellas, Uds.",presente vos,imperfecto yo,imperfecto tú,"imperfecto él, ella, Ud.",imperfecto nosotros,imperfecto vosotros,"imperfecto ellos, ellas, Uds.",imperfecto vos,pretérito yo,pretérito tú,"pretérito él, ella, Ud.",pretérito nosotros,pretérito vosotros,"pretérito ellos, ellas, Uds.",pretérito vos,futuro yo,futuro tú,"futuro él, ella, Ud.",futuro nosotros,futuro vosotros,"futuro ellos, ellas, Uds.",futuro vos,condicional yo,condicional tú,"condicional él, ella, Ud.",condicional nosotros,condicional vosotros,"condicional ellos, ellas, Uds.",condicional vos,prob
cualificar,1414,cualifico,cualificas,cualifica,cualificamos,cualificáis,cualifican,cualificás,cualificaba,cualificabas,cualificaba,cualificábamos,cualificabais,cualificaban,cualificabas,cualifiqué,cualificaste,cualificó,cualificamos,cualificasteis,cualificaron,cualificaste,cualificaré,cualificarás,cualificará,cualificaremos,cualificaréis,cualificarán,cualificarás,cualificaría,cualificarías,cualificaría,cualificaríamos,cualificaríais,cualificarían,cualificarías,0.00040684067785296305
dictar,1414,dicto,dictas,dicta,dictamos,dictáis,dictan,dictás,dictaba,dictabas,dictaba,dictábamos,dictabais,dictaban,dictabas,dicté,dictaste,dictó,dictamos,dictasteis,dictaron,dictaste,dictaré,dictarás,dictará,dictaremos,dictaréis,dictarán,dictarás,dictaría,dictarías,dictaría,dictaríamos,dictaríais,dictarían,dictarías,0.00040684067785296305
diferenciar,1414,diferencio,diferencias,diferencia,diferenciamos,diferenciáis,diferencian,diferenciás,diferenciaba,diferenciabas,diferenciaba,diferenciábamos,diferenciabais,diferenciaban,diferenciabas,diferencié,diferenciaste,diferenció,diferenciamos,diferenciasteis,diferenciaron,diferenciaste,diferenciaré,diferenciarás,diferenciará,diferenciaremos,diferenciaréis,diferenciarán,diferenciarás,diferenciaría,diferenciarías,diferenciaría,diferenciaríamos,diferenciaríais,diferenciarían,diferenciarías,0.00040684067785296305
susurrar,1413,susurro,susurras,susurra,susurramos,susurráis,susurran,susurrás,susurraba,susurrabas,susurraba,susurrábamos,susurrabais,susurraban,susurrabas,susurré,susurraste,susurró,susurramos,susurrasteis,susurraron,susurraste,susurraré,susurrarás,susurrará,susurraremos,susurraréis,susurrarán,susurrarás,susurraría,susurrarías,susurraría,susurraríamos,susurraríais,susurrarían,susurrarías,0.000406552954601299
castrar,1413,castro,castras,castra,castramos,castráis,castran,castrás,castraba,castrabas,castraba,castrábamos,castrabais,castraban,castrabas,castré,castraste,castró,castramos,castrasteis,castraron,castraste,castraré,castrarás,castrará,castraremos,castraréis,castrarán,castrarás,castraría,castrarías,castraría,castraríamos,castraríais,castrarían,castrarías,0.000406552954601299
relacionar,1412,relaciono,relacionas,relaciona,relacionamos,relacionáis,relacionan,relacionás,relacionaba,relacionabas,relacionaba,relacionábamos,relacionabais,relacionaban,relacionabas,relacioné,relacionaste,relacionó,relacionamos,relacionasteis,relacionaron,relacionaste,relacionaré,relacionarás,relacionará,relacionaremos,relacionaréis,relacionarán,relacionarás,relacionaría,relacionarías,relacionaría,relacionaríamos,relacionaríais,relacionarían,relacionarías,0.000406265231349635
censar,1411,censo,censas,censa,censamos,censáis,censan,censás,censaba,censabas,censaba,censábamos,censabais,censaban,censabas,censé,censaste,censó,censamos,censasteis,censaron,censaste,censaré,censarás,censará,censaremos,censaréis,censarán,censarás,censaría,censarías,censaría,censaríamos,censaríais,censarían,censarías,0.00040597750809797094
agobiar,1410,agobio,agobias,agobia,agobiamos,agobiáis,agobian,agobiás,agobiaba,agobiabas,agobiaba,agobiábamos,agobiabais,agobiaban,agobiabas,agobié,agobiaste,agobió,agobiamos,agobiasteis,agobiaron,agobiaste,agobiaré,agobiarás,agobiará,agobiaremos,agobiaréis,agobiarán,agobiarás,agobiaría,agobiarías,agobiaría,agobiaríamos,agobiaríais,agobiarían,agobiarías,0.00040568978484630685
sesgar,1410,sesgo,sesgas,sesga,sesgamos,sesgáis,sesgan,sesgás,sesgaba,sesgabas,sesgaba,sesgábamos,sesgabais,sesgaban,sesgabas,sesgué,sesgaste,sesgó,sesgamos,sesgasteis,sesgaron,sesgaste,sesgaré,sesgarás,sesgará,sesgaremos,sesgaréis,sesgarán,sesgarás,sesgaría,sesgarías,sesgaría,sesgaríamos,sesgaríais,sesgarían,sesgarías,0.00040568978484630685
reventar,1408,reviento,revientas,revienta,reventamos,reventáis,revientan,reventás,reventaba,reventabas,reventaba,reventábamos,reventabais,reventaban,reventabas,reventé,reventaste,reventó,reventamos,reventasteis,reventaron,reventaste,reventaré,reventarás,reventará,reventaremos,reventaréis,reventarán,reventarás,reventaría,reventarías,reventaría,reventaríamos,reventaríais,reventarían,reventarías,0.0004051143383429788
destrozar,1408,destrozo,destrozas,destroza,destrozamos,destrozáis,destrozan,destrozás,destrozaba,destrozabas,destrozaba,destrozábamos,destrozabais,destrozaban,destrozabas,destrocé,destrozaste,destrozó,destrozamos,destrozasteis,destrozaron,destrozaste,destrozaré,destrozarás,destrozará,destrozaremos,destrozaréis,destrozarán,destrozarás,destrozaría,destrozarías,destrozaría,destrozaríamos,destrozaríais,destrozarían,destrozarías,0.0004051143383429788
asear,1408,aseo,aseas,asea,aseamos,aseáis,asean,aseás,aseaba,aseabas,aseaba,aseábamos,aseabais,aseaban,aseabas,aseé,aseaste,aseó,aseamos,aseasteis,asearon,aseaste,asearé,asearás,aseará,asearemos,asearéis,asearán,asearás,asearía,asearías,asearía,asearíamos,asearíais,asearían,asearías,0.0004051143383429788
pervertir,1407,pervierto,perviertes,pervierte,pervertimos,pervertís,pervierten,pervertís,pervertía,pervertías,pervertía,pervertíamos,pervertíais,pervertían,pervertías,pervertí,pervertiste,pervirtió,pervertimos,pervertisteis,pervirtieron,pervertiste,pervertiré,pervertirás,pervertirá,pervertiremos,pervertiréis,pervertirán,pervertirás,pervertiría,pervertirías,pervertiría,pervertiríamos,pervertiríais,pervertirían,pervertirías,0.00040482661509131474
acuchillar,1407,acuchillo,acuchillas,acuchilla,acuchillamos,acuchilláis,acuchillan,acuchillás,acuchillaba,acuchillabas,acuchillaba,acuchillábamos,acuchillabais,acuchillaban,acuchillabas,acuchillé,acuchillaste,acuchilló,acuchillamos,acuchillasteis,acuchillaron,acuchillaste,acuchillaré,acuchillarás,acuchillará,acuchillaremos,acuchillaréis,acuchillarán,acuchillarás,acuchillaría,acuchillarías,acuchillaría,acuchillaríamos,acuchillaríais,acuchillarían,acuchillarías,0.00040482661509131474
curiosear,1407,curioseo,curioseas,curiosea,curioseamos,curioseáis,curiosean,curioseás,curioseaba,curioseabas,curioseaba,curioseábamos,curioseabais,curioseaban,curioseabas,curioseé,curioseaste,curioseó,curioseamos,curioseasteis,curiosearon,curioseaste,curiosearé,curiosearás,curioseará,curiosearemos,curiosearéis,curiosearán,curiosearás,curiosearía,curiosearías,curiosearía,curiosearíamos,curiosearíais,curiosearían,curiosearías,0.00040482661509131474
trastear,1406,trasteo,trasteas,trastea,trasteamos,trasteáis,trastean,trasteás,trasteaba,trasteabas,trasteaba,trasteábamos,trasteabais,trasteaban,trasteabas,trasteé,trasteaste,trasteó,trasteamos,trasteasteis,trastearon,trasteaste,trastearé,trastearás,trasteará,trastearemos,trastearéis,trastearán,trastearás,trastearía,trastearías,trastearía,trastearíamos,trastearíais,trastearían,trastearías,0.00040453889183965065
propagar,1406,propago,propagas,propaga,propagamos,propagáis,propagan,propagás,propagaba,propagabas,propagaba,propagábamos,propagabais,propagaban,propagabas,propagué,propagaste,propagó,propagamos,propagasteis,propagaron,propagaste,propagaré,propagarás,propagará,propagaremos,propagaréis,propagarán,propagarás,propagaría,propagarías,propagaría,propagaríamos,propagaríais,propagarían,propagarías,0.00040453889183965065
emprender,1405,emprendo,emprendes,emprende,emprendemos,emprendéis,emprenden,emprendés,emprendía,emprendías,emprendía,emprendíamos,emprendíais,emprendían,emprendías,emprendí,emprendiste,emprendió,emprendimos,emprendisteis,emprendieron,emprendiste,emprenderé,emprenderás,emprenderá,emprenderemos,emprenderéis,emprenderán,emprenderás,emprendería,emprenderías,emprendería,emprenderíamos,emprenderíais,emprenderían,emprenderías,0.0004042511685879866
infectar,1404,infecto,infectas,infecta,infectamos,infectáis,infectan,infectás,infectaba,infectabas,infectaba,infectábamos,infectabais,infectaban,infectabas,infecté,infectaste,infectó,infectamos,infectasteis,infectaron,infectaste,infectaré,infectarás,infectará,infectaremos,infectaréis,infectarán,infectarás,infectaría,infectarías,infectaría,infectaríamos,infectaríais,infectarían,infectarías,0.0004039634453363226
